t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
7.305199999996313,-207.94332875488098,-261.50387923776515,-50.79811510566253,-71.59193999991362,-4.720235691790665,-9.8
7.40529999999608,-213.0518131601344,-268.7193795297564,-51.26825136649975,-72.57291999991205,-4.673221595565981,-9.8
7.505399999995847,-218.20712321524644,-276.03307591974755,-51.733705015525075,-73.55389999991047,-4.626675765205145,-9.8
7.605499999995613,-223.40879253130106,-283.4449684077385,-52.19452269209642,-74.5348799999089,-4.580593536725726,-9.8
7.70559999999538,-228.65635936466967,-290.95505699372933,-52.650750571038365,-75.51585999990732,-4.53497029259909,-9.8
7.805699999995147,-233.94936657074493,-298.56334167771996,-53.102434367268835,-76.49683999990575,-4.48980146128773,-9.8
7.905799999994914,-239.28736155813132,-306.2698224597104,-53.549619340379884,-77.47781999990417,-4.4450825167871795,-9.8
8.00589999999468,-244.6698962432971,-314.0744993397008,-53.99235029917285,-78.4587999999026,-4.400808978172497,-9.8
8.105999999994447,-250.09652700567472,-321.97737231769094,-54.430671606148266,-79.43977999990102,-4.356976409149265,-9.8
8.206099999994214,-255.56681464320917,-329.97844139368095,-54.86462718195069,-80.42075999989945,-4.313580417609107,-9.8
8.30619999999398,-261.08032432834824,-338.0777065676709,-55.29426050977007,-81.40173999989787,-4.270616655189546,-9.8
8.406299999993747,-266.6366255644738,-346.2751678396605,-55.71961463969891,-82.3827199998963,-4.228080816838278,-9.8
8.506399999993514,-272.23529214276283,-354.5708252096501,-56.140732193045565,-83.36369999989472,-4.185968640381848,-9.8
8.60649999999328,-277.8759020994829,-362.9646786776394,-56.557655366605346,-84.34467999989315,-4.144275906098527,-9.8
8.706599999993047,-283.55803767370946,-371.4567282436287,-56.97042593688852,-85.32565999989157,-4.102998436295511,-9.8
8.806699999992814,-289.2812852654634,-380.0469739076177,-57.37908526430642,-86.30663999989,-4.062132094890307,-9.8
8.90679999999258,-295.0452353942709,-388.73541566960665,-57.78367429731611,-87.28761999988842,-4.021672786996259,-9.8
9.006899999992347,-300.8494826581325,-397.5220535295954,-58.1842335765228,-88.26859999988685,-3.981616458512306,-9.8
9.106999999992114,-306.69362569289666,-406.40688748758396,-58.58080323874295,-89.24957999988527,-3.941959095716662,-9.8
9.20709999999188,-312.577267132049,-415.38991754357244,-58.97342302102569,-90.2305599998837,-3.90269672486468,-9.8
9.307199999991647,-318.5000135668884,-424.4711436975607,-59.36213226463417,-91.21153999988212,-3.8638254117907014,-9.8
9.407299999991414,-324.46147550711356,-433.6505659495488,-59.74696991898837,-92.19251999988055,-3.8253412615137785,-9.8
9.507399999991181,-330.46126734178756,-442.9281842995368,-60.12797454556715,-93.17349999987897,-3.787240417847464,-9.8
9.607499999990948,-336.49900730070766,-452.3039987475246,-60.50518432177295,-94.1544799998774,-3.7495190630133353,-9.8
9.707599999990714,-342.57431741614533,-461.77800929351224,-60.87863704475641,-95.13545999987582,-3.7121734172585317,-9.8
9.807699999990481,-348.6868234849731,-471.35021593749974,-61.24837013520455,-96.11643999987425,-3.6751997384769304,-9.8
9.907799999990248,-354.83615503117034,-481.0206186794871,-61.61442064108982,-97.09741999987267,-3.638594321834237,-9.8
10.007899999990014,-361.02194526870363,-490.7892175194743,-61.976825241382535,-98.0783999998711,-3.6023534993967408,-9.8
10.107999999989781,-367.2438310647673,-500.6560124574613,-62.335620249726276,-99.05937999986952,-3.566473639763771,-9.8
10.208099999989548,-373.5014529034036,-510.62100349344814,-62.69084161807644,-100.04035999986795,-3.530951147703833,-9.8
10.308199999989315,-379.79445484947234,-520.6841906274349,-63.042524940302805,-101.02133999986637,-3.4957824637943578,-9.8
10.408299999989081,-386.12248451298973,-530.8455738594215,-63.390705455755985,-102.0023199998648,-3.460964064065042,-9.8
